word,__sum_candidate
"1,1mi",1
30bi,1
7milhões,1
abacates,1
abandonaríamos,1
abandono,2
abastecem,1
abastecimento,1
abbraccio,1
abençoa,1
abençoe,4
aberta,1
aberto,4
abertos,2
abertura,6
abordados,1
abordando,1
abpa,1
abraham,3
abrange,1
abrazo,2
abraço,48
abre,1
abril,5
abrir,1
abrirei,1
abrirmos,1
abrirá,1
absorvendo,1
absorver,1
absurdas,1
abutre,1
ac,1
acaba,1
acabamos,1
acabar,2
acadêmica,1
acadêmicas,1
acadêmico,1
acarretar,1
according,1
aceitamos,1
aceleramos,1
aceleração,1
acessar,1
acessaram,1
acesse,1
acessibilidade,1
acesso,4
achar,1
acharem,1
acho,1
acidente,1
acima,11
acionistas,1
acolhimento,1
acompanha,1
acompanhada,1
acompanhado,1
acompanhando,3
acompanhar,2
acontece,2
acontecendo,2
acontecer,1
acontecimento,1
acontecimentos,2
aconteçam,2
acordada,1
acordo,14
acordos,8
acordou,1
acre,2
acreditando,2
acredito,4
acréscimo,2
acusam,2
acusando,1
acusar,1
acusações,1
adalberto,1
adesão,1
adianta,1
adiante,4
adiantou,1
adivinha,1
adjunta,1
adm,1
administrado,2
administração,4
admirável,1
admissões,1
adolescentes,1
adorados,1
adoção,1
advocacia,2
advocacia-geral,1
advogado,1
adélio,1
aeronaves,1
aeronáutica,2
aeroporto,1
aeroportos,14
aeroportuárias,2
aeroportuário,1
afastada,1
afastados,1
afeta,1
afetada,2
afetadas,1
afetados,2
afetar,1
afetará,1
afetou,1
afinco,1
afinidade,1
afora,1
age,2
agenda,8
agentes,6
agilidade,2
agilizando,1
agilizar,1
agir,2
agirem,1
agiu,1
agora,10
agostinho,1
agosto,1
agrada,1
agradece,1
agradecemos,4
agradecer,3
agradeço,15
agradou,1
agradáveis,1
agradável,2
agreguem,1
agressividade,1
agreste,2
agricultores,1
agricultura,7
agrishow,2
agronegócio,1
agrária,1
agrícola,2
agu,3
aguarda,1
aguardamos,1
aguardando,1
aguardar,1
aguardo,1
aguenta,1
agência,4
ainda,35
ajuda,6
ajudando,1
ajudar,1
ajudas,1
ajudou,1
akihito,1
al,3
alagoas,1
alavancando,1
alavancar,1
alcance,5
alcançado,1
alcançados,1
alcançamos,1
alcançaremos,1
alcoólica,1
alcântara,5
alegre,1
alemanha,3
alemão,1
alexandre,2
alfabetização,1
algo,11
algodão,1
algum,2
alguma,3
algumas,6
alguns,20
alguém,1
ali,1
alia,1
aliado,1
aliados,1
alianças,1
alimentado,1
alimentar,1
alimentação,1
alimento,1
alimentos,2
alinhados,3
alinhamento,1
aliviar,1
alma,1
almeja,3
almejamos,2
alo,1
alquimia,1
alta,4
alternativa,2
alternativas,1
alternativos,1
alto,2
altura,1
alunos,7
alvarás,1
alvo,2
alvorada,3
além,24
alívio,1
am,1
amada,2
amado,2
amadurecimento,1
aman,1
amanhã,5
amapá,1
amarras,1
amazonas,3
amazônia,1
amazônica,3
ambas,1
ambientais,1
ambiental,4
ambiente,17
ambições,1
ambos,1
ameaça,1
ameaçadas,2
ameaçava,1
america,2
american,1
americana,1
americano,2
amiga,2
amigo,3
amigos,5
amistomo,1
amizade,7
amo,1
amor,4
amp,1
amparados,1
amparo,1
ampla,1
amplamente,1
amplia,1
ampliar,4
ampliação,4
américa,7
analisado,1
analise,1
and,7
andamento,6
andanças,1
andar,2
andrej,1
andrzej,1
andré,2
animado,1
animais,1
animal,3
anime,1
animes,1
aninhos,1
anistia,1
aniversário,3
ano,31
anos,29
anseios,5
ansiosamente,1
ante,2
anterior,5
anteriores,14
anteriormente,1
antes,4
anti,1
anti-americano,1
anti-crimes,4
anti-intelectualismo,1
anticrime,5
anticrimes,1
antigo,1
antonio,1
antártica,1
anuais,1
anual,2
anulando,1
anulei,1
anuncia,2
anunciadas,1
anunciamos,1
anunciar,1
anunciarmos,1
anunciei,1
anunciou,2
análise,3
anúncio,2
ap,1
apagou,1
aparados,2
aparecem,1
aparecesse,1
aparelhadas,1
aparelhamento,1
aparelhou,1
apelo,1
apenas,17
aperfeiçoa,1
